category,category_group,city,client_jobs_posted,client_rating,company,company_description,company_industry,company_size,description,employment_type,engagement_duration,id,job_type,location,posted_date,remote,salary,skills,source,title,url,weekly_hours
,,Frauenfeld,,,Stadler,"International rail vehicle construction company, Stadler, is headquartered in Bussnang in Eastern Switzerland. Founded in 1942, it has a workforce of around 11,000 based in various production and over 40 service locations. Stadler provides a comprehensive range of products in the heavy and urban transport segments: High-speed trains, intercity trains, regional and commuter heavy rail trains, underground trains, tram trains and trams. Stadler also manufactures main-line locomotives, shunting locomotives and passenger carriages, including the most powerful diesel-electric locomotive in Europe. It is the world’s leading manufacturer in the rack-and-pinion rail vehicle industry.",Railroad Equipment Manufacturing,"10,001+ employees",,FULL_TIME,,1551247143,,"Frauenfeld, Thurgau, Switzerland",,False,,[],linkedin,Commercial Project Manager 3R – Frauenfeld,https://ch.linkedin.com/jobs/view/commercial-project-manager-3r-%E2%80%93-frauenfeld-at-stadler-4205449430,
,,Midland,,,Brightpath Associates LLC,"Brightpath is USA based executive search firm providing recruitment expertise that enables businesses to meet their workforce demands. We combine our team’s years of experience with the latest technology and insights. We understand that selecting the right senior leaders is critical to an organization's success. We use our experience to identify talent with potential rather than solely relying on the past and precedence.Brightpath is a team oriented company. We offer challenging assignments, and strive to be with our team long-term. We are committed to quality people and service. At Brightpath, we offer our team the opportunity to join a highly skilled, professional team and provide continuous professional development. Team members of Brightpath get the opportunity to work for some of the best corporations and government agencies across the country. When you work with Brightpath, we provide a challenging, exciting and professional atmosphere. We allow you to showcase your skills, and take the time to find a position that is the right fit for you.Specifically our services include; Conducting executive search for Engineering, Financial, Information Technology, Legal, Managerial, Professional, Technical and Telecomm roles to varied industries.Contact us today and let us find the perfect match.",Staffing and Recruiting,51-200 employees,,FULL_TIME,,1551239430,,"Midland, Texas, United States",,False,,[],linkedin,Lead Project Quality Supervisor,https://www.linkedin.com/jobs/view/lead-project-quality-supervisor-at-brightpath-associates-llc-4205475616,
,,Indianapolis,,,U.S. Customs and Border Protection,"As a part of the Department of Homeland Security, U.S. Customs and Border Protection (CBP) serves as a leading law enforcement agency in securing our nation. We patrol our nation’s border, ensure traveler safety, keep harmful products out of our communities, and protect the lives of millions of Americans across the country.",Government Administration,"10,001+ employees",,FULL_TIME,,1551236899,,"Indianapolis, Indiana, United States",,False,,[],linkedin,Human Resources Specialist (Employee Benefits),https://www.linkedin.com/jobs/view/human-resources-specialist-employee-benefits-at-u-s-customs-and-border-protection-4205235980,
,,Milwaukee,,,Crisis Prevention Institute,"Since 1980, the Crisis Prevention Institute has helped millions of individuals begin a journey of positive, supportive, and empathic caring for people of all ages. • We believe in the power of empathy, compassion, and meaningful connections. • We consider personal safety and security the antidotes to fear and anxiety; and that listening leads to understanding. • We know when those who care for others feel prepared and confident in their abilities, they can make the world a better place.CPI’s crisis prevention training gives professionals the confidence to prevent and respond to workplace violence. With a focus on healthcare, education, human services, and dementia care, CPI sets the standard for best practices in evidence-based workplace violence prevention. Our training is designed to support the safety and well-being of both staff and those in their care. We teach the skills that help professionals de-escalate verbal and physical crises in the workplace, with an array of solutions that address the full spectrum of risk levels.SolutionsNonviolent Crisis Intervention® Training:Nonviolent Crisis Intervention Training focuses on verbal de-escalation and early intervention, giving staff an effective framework for decision making and problem solving, as well as teaching safe disengagements and physical interventions that can be implemented with the least use of force, providing the safest environment for all parties involved.Verbal Intervention™ Training:This program is ideal for organizations that have a hands-off policy, and for staff members who don’t experience higher risk situations requiring physical interventions, instilling the confidence and skills to verbally respond to disruptive behaviors, and prevent further escalation.To learn more about CPI and our full offering of industry-leading solutions, visit us today at crisisprevention.com.",Professional Training and Coaching,201-500 employees,,INTERN,,1551239338,,"Milwaukee, Wisconsin, United States",,False,,[],linkedin,Data Governance Intern,https://www.linkedin.com/jobs/view/data-governance-intern-at-crisis-prevention-institute-4205239426,
,,Ontario,,,J.R. Simplot Company,"Founded in 1929, the J.R. Simplot Company is a dynamic global food and agriculture leader with operations in the U.S., Canada, Mexico, Australia, Argentina, India and China. Headquartered in Boise, Idaho, the privately held and family-owned Company employs more than 15,000 employees worldwide. The Company's integrated portfolio includes food processing and food brands, phosphate mining, fertilizer manufacturing, farming, ranching and cattle production, and other enterprises related to agriculture. The Simplot Brand and our values still align with the qualities you find in farmers: independence, fairness, resilience and resourcefulness. We imagine a better future, build innovative solutions to help feed a growing global population and share an unwavering commitment to the communities where we operate. Simplot’s success is strengthened by our history, driven by our employees, and ensured by our commitment to our Purpose, Mission and Core Values. Many things have changed at Simplot over the years, but J.R.’s bedrock vision carries forward: work hard, give honest value, be good partners and – today more than ever – treat the Earth and its bounty as a resource to be respected and protected.",Food and Beverage Manufacturing,"10,001+ employees",,FULL_TIME,,1551239826,,"Ontario, Oregon, United States",,False,,[],linkedin,"QA Teamleader - Ontario, OR",https://www.linkedin.com/jobs/view/qa-teamleader-ontario-or-at-j-r-simplot-company-4205236916,
,,Grand Forks,,,J.R. Simplot Company,"Founded in 1929, the J.R. Simplot Company is a dynamic global food and agriculture leader with operations in the U.S., Canada, Mexico, Australia, Argentina, India and China. Headquartered in Boise, Idaho, the privately held and family-owned Company employs more than 15,000 employees worldwide. The Company's integrated portfolio includes food processing and food brands, phosphate mining, fertilizer manufacturing, farming, ranching and cattle production, and other enterprises related to agriculture. The Simplot Brand and our values still align with the qualities you find in farmers: independence, fairness, resilience and resourcefulness. We imagine a better future, build innovative solutions to help feed a growing global population and share an unwavering commitment to the communities where we operate. Simplot’s success is strengthened by our history, driven by our employees, and ensured by our commitment to our Purpose, Mission and Core Values. Many things have changed at Simplot over the years, but J.R.’s bedrock vision carries forward: work hard, give honest value, be good partners and – today more than ever – treat the Earth and its bounty as a resource to be respected and protected.",Food and Beverage Manufacturing,"10,001+ employees",,FULL_TIME,,1551239931,,"Grand Forks, North Dakota, United States",,False,,[],linkedin,Lab Technician (Crew D) Grand Forks GF,https://www.linkedin.com/jobs/view/lab-technician-crew-d-grand-forks-gf-at-j-r-simplot-company-4205241107,
,,San Antonio,,,Spurs Sports & Entertainment,"Spurs Sports & Entertainment (SS&E) is a value based and community centricic sports and entertainment company that provides premier live and global digital experiences for fans across our portfolio of three teams and two venues. All supported by a passionate staff of more than 1,000 employees. SS&E owns and operates the San Antonio Spurs (NBA), Austin Spurs (NBA G-League), and the San Antonio FC (USL), and also manages day-to-day operations of the Frost Bank Center, Toyota Field and STAR Complex. The SS&E ownership group is led by Chairman and CEO Peter J Holt.",Spectator Sports,201-500 employees,,FULL_TIME,,1551240438,,"San Antonio, Texas, United States",,False,,[],linkedin,Venue Brand Manager,https://www.linkedin.com/jobs/view/venue-brand-manager-at-spurs-sports-entertainment-4205239424,
,,Watsonville,,,Driscoll's,"Driscoll’s is the global market leader for fresh strawberries, blueberries, raspberries and blackberries. With more than 100 years of farming heritage and hundreds of independent growers around the world, Driscoll’s is passionate about growing great tasting berries. Driscoll’s exclusive patented berry varieties are developed through years of research using only natural breeding methods – that means no GMOs. A dedicated team of agronomists, breeders, sensory analysts, plant pathologists and entomologists help grow baby seedlings that are then grown on family farms. Our independent berry growers then work with Mother Nature, using experience and know-how to get the very best out of each strawberry, blueberry, blackberry and raspberry plant.Driscoll’s is serious about yummy berries! Driscoll’s is the trusted brand for Only the Finest Berries ™.",Food and Beverage Services,"1,001-5,000 employees",,FULL_TIME,,1551238259,,"Watsonville, California, United States",,False,,[],linkedin,Business System Analyst,https://www.linkedin.com/jobs/view/business-system-analyst-at-driscoll-s-4205475185,
,,Watsonville,,,Driscoll's,"Driscoll’s is the global market leader for fresh strawberries, blueberries, raspberries and blackberries. With more than 100 years of farming heritage and hundreds of independent growers around the world, Driscoll’s is passionate about growing great tasting berries. Driscoll’s exclusive patented berry varieties are developed through years of research using only natural breeding methods – that means no GMOs. A dedicated team of agronomists, breeders, sensory analysts, plant pathologists and entomologists help grow baby seedlings that are then grown on family farms. Our independent berry growers then work with Mother Nature, using experience and know-how to get the very best out of each strawberry, blueberry, blackberry and raspberry plant.Driscoll’s is serious about yummy berries! Driscoll’s is the trusted brand for Only the Finest Berries ™.",Food and Beverage Services,"1,001-5,000 employees",,FULL_TIME,,1551238294,,"Watsonville, California, United States",,False,,[],linkedin,R&D Test Plot Manager,https://www.linkedin.com/jobs/view/r-d-test-plot-manager-at-driscoll-s-4205468826,
,,Oakland,,,Alameda Health System,"Alameda Health System is the East Bay's premier patient and family-centered care system. Our trauma center and teaching hospital are considered among the best in the country. We are committed to continually improving health through individual patient experiences.Our mission, Caring, Healing, Teaching, Serving All, speaks to the vital role we play in the community and the critical responsibility we accept in promoting wellness, eliminating disparities and optimizing the health of a diverse East Bay.Our facilities include the Wilma Chan Highland Hospital Campus, a regional trauma center and teaching hospital, John George Psychiatric Hospital, an acute and emergency care facility, Fairmont Hospital, an acute rehabilitation hospital and skilled nursing facility, longtime community-based hospitals San Leandro Hospital and Alameda Hospital and four neighborhood-based community Wellness Centers located in Oakland, Newark and Hayward.We reserve the right to remove any posts or comments that violate patient confidentiality, are offensive, inappropriate or excessive. The views expressed in this forum do not necessarily reflect those of Alameda Health System.Terms Of Use:https://www.alamedahealthsystem.org/terms-of-use-social-media/",Hospitals and Health Care,"1,001-5,000 employees",,CONTRACTOR,,1551239121,,"Oakland, California, United States",,False,,[],linkedin,Clinical Nurse II,https://www.linkedin.com/jobs/view/clinical-nurse-ii-at-alameda-health-system-4205472495,
