job_id,company,job_title,level,location
4181221906,Google,"Software Engineer, Early Career, 2025 Start",Entry level,"Warsaw, Mazowieckie, Poland"
3891674761,Atlean World,Java Developer,Entry level,"The Hague, South Holland, Netherlands"
4085932422,Google,"Software Engineer, Early Career, Campus",Entry level,"Bucharest, Bucharest, Romania"
4179866249,Google,"Software Engineer, Early Career, Campus",Entry level,"Warsaw, Mazowieckie, Poland"
4122081493,Dreamix,Junior Java Engineer,Entry level,"Sofia, Sofia City, Bulgaria"
4183852148,N-iX,Senior Java Engineer,Not Applicable,Poland
4149619763,Skroutz,"Software Engineer, Backend (SE 0225)",Mid-Senior level,"Athens, Attiki, Greece"
3617979089,SFEIR,Java Developer,Entry level,Luxembourg
4181387970,Malt,Senior Java/Kotlin Developer,Not Applicable,"Lacaussade, Nouvelle-Aquitaine, France"
4045484168,GRNET - Greek Research & Technology Network,Java Developer,Entry level,"Athens, Attiki, Greece"
4192816057,Morgan Stanley,Software Developer,Not Applicable,"Budapest, Hungary"
4148174960,BLACKBIRD.AI,Senior / Principal Software Engineer,Mid-Senior level,Slovakia
4188107997,Mindera,Java Technical Lead/Staff Engineer,Mid-Senior level,"Braşov, Braşov, Romania"
4178788670,Thyme,Software Engineer,Mid-Senior level,"Berlin, Germany"
4112926141,VisibleThread ,Senior Software Engineer,Mid-Senior level,Ireland
4161519414,PeopleCert,Software Developer,Mid-Senior level,"Athens, Attiki, Greece"
4069526496,Nord Security,Software engineer | Mid | Python,Not Applicable,"Vilnius, Vilniaus, Lithuania"
4189611111,Intellias,Senior Java Software Engineer,Associate,Poland
4172309573,Thales Cyber and Digital ,Java Software Engineer,Mid-Senior level,"Prague, Prague, Czechia"
4148176891,BLACKBIRD.AI,Senior / Principal Software Engineer,Mid-Senior level,France
4188835700,Deutsche Telekom IT Solutions HU,Java developer (REF3397C),Mid-Senior level,"Budapest, Budapest, Hungary"
4193881762,Intellias,Senior Java Software Engineer,Associate,Poland
4190254638,uDelta,Senior Software Developer (Go),Mid-Senior level,Spain
4171855966,Poppi Technologies,Junior Software Engineer,Entry level,"Valenzano, Apulia, Italy"
4170834475,Deutsche Telekom IT Solutions Slovakia,Senior Application Developer (REF504J),Mid-Senior level,"Košice, Kosice, Slovakia"
4069524739,Nord Security,Software engineer | Senior | Python,Not Applicable,"Vilnius, Vilniaus, Lithuania"
4188108923,Mindera,Java Technical Lead/Staff Engineer,Mid-Senior level,"Iaşi, Iaşi, Romania"
4189642442,Matritel,Java Developer,Mid-Senior level,"Budapest, Hungary"
4188109757,Mindera,Java Technical Lead/Staff Engineer,Mid-Senior level,"Cluj-Napoca, Cluj, Romania"
4188300263,Netcompany,Junior Java Developer,Entry level,"Warsaw, Mazowieckie, Poland"
4141136344,"KPMG, Microsoft Business Solutions Malta",Junior Programmer - Graduates Programme,Entry level,Malta
4189259215,Nord Security,Software engineer | Senior | Python,Not Applicable,"Warsaw, Mazowieckie, Poland"
4151936081,LinkedIn,Senior AI Software Engineer,Not Applicable,"Dublin, County Dublin, Ireland"
4193156899,Apollo Agriculture,Software Engineer,Not Applicable,"Amsterdam, North Holland, Netherlands"
4188775810,EXUS,R&D - Machine Learning Engineer (Fully Remote Across Europe),Mid-Senior level,"Budapest, Budapest, Hungary"
4180343470,Decskill,Junior Developer (Recent Graduate),Entry level,"Lisbon, Lisbon, Portugal"
3759738540,Exprivia,Junior Developer,Entry level,Italy
4121545288,TotalSoft,Software Engineer,Mid-Senior level,"Bucharest, Bucharest, Romania"
4184043437,Experian,Junior Java Software Engineer - Platform Team,Entry level,"Sofia, Sofia City, Bulgaria"
4062541661,Transifex,"Backend Software Engineer (Remote, Full-time)",Mid-Senior level,"Marousi, Attiki, Greece"
4114505978,EUROPEAN DYNAMICS,Java Full-Stack Software Engineer,Mid-Senior level,"Athens, Attiki, Greece"
4180340704,Decskill,Junior Developer (Recent Graduate),Entry level,"Porto, Porto, Portugal"
4167542465,Intracom Telecom,Data Scientist,Associate,"Paiania, Attiki, Greece"
4188357246,Oracle,Software Developer - fresh graduate,Mid-Senior level,"Barcelona, Catalonia, Spain"
4119717366,BNP Paribas Personal Finance,Senior Java Developer,Mid-Senior level,"Bucharest, Romania"
4192815628,Logifuture,Java Software Developer,Associate,"Bucharest, Bucharest, Romania"
4167007071,Inetum,Java Backend Developer,Mid-Senior level,"Bucharest, Romania"
4181194295,THRYVE,Java Software Engineer,Not Applicable,Germany
4188415013,Visa,Junior Java Software Engineer - Full Stack,Associate,"Warsaw, Mazowieckie, Poland"
4158640434,EUROPEAN DYNAMICS,"Full Stack Developer (Java, Angular)",Entry level,"Luxembourg, Luxembourg, Luxembourg"
4167000264,WINGS ICT Solutions,Backend Engineer,Entry level,"Néa Smýrni, Attiki, Greece"
4192381879,Circunomics,Backend Developer (all genders),Mid-Senior level,Germany
4175576268,KCS iT,Java Full stack Developer fluent in English and French,Mid-Senior level,"Porto, Porto, Portugal"
4172307661,Thales Cyber and Digital ,Senior Software Engineer,Mid-Senior level,"Prague, Czechia"
4172622307,EUROPEAN DYNAMICS,Senior Software Engineer / Architect- Relocation to Greece,Mid-Senior level,"Sofia, Sofia City, Bulgaria"
4153148554,EXUS,R&D - Machine Learning Engineer (Fully Remote Across Greece),Mid-Senior level,"Athens, Attiki, Greece"
4189418876,Tribe28,Java Software Engineer,Associate,"Utrecht, Netherlands"
4185695794,ActiveViam,Software Engineer R&D - Backend - Junior,Entry level,"Paris, Île-de-France, France"
4118658409,Content Guru,Software Developer,Entry level,Porto Metropolitan Area
4172668830,Prewave,Senior Software Engineer (f/m/d) - ID:1129368,Mid-Senior level,"Vienna, Austria"
4188776456,EXUS,R&D - Machine Learning Engineer (Fully Remote Across Europe),Mid-Senior level,"Zagreb, Zagreb, Croatia"
4187182260,Arista Networks,Software Engineer Mid-level/Senior,Mid-Senior level,Cracow Metropolitan Area
4185485297,FarmAct,Backend Developer (all levels),Entry level,"Augsburg, Bavaria, Germany"
4192099389,Spirii,Backend Software Developer,Entry level,"Copenhagen, Capital Region of Denmark, Denmark"
4177540392,Certivity,Full-Stack Software Engineer (m/f/d) -  Java,Mid-Senior level,"Munich, Bavaria, Germany"
4121106647,Accuracy,Junior Software Engineer,Entry level,"Paris, Île-de-France, France"
