job_id,company,job_title,level,location
4181221906,Google,"Software Engineer, Early Career, 2025 Start",Entry level,"Warsaw, Mazowieckie, Poland"
3891674761,Atlean World,Java Developer,Entry level,"The Hague, South Holland, Netherlands"
4085932422,Google,"Software Engineer, Early Career, Campus",Entry level,"Bucharest, Bucharest, Romania"
4179866249,Google,"Software Engineer, Early Career, Campus",Entry level,"Warsaw, Mazowieckie, Poland"
4122081493,Dreamix,Junior Java Engineer,Entry level,"Sofia, Sofia City, Bulgaria"
4183852148,N-iX,Senior Java Engineer,Not Applicable,Poland
4149619763,Skroutz,"Software Engineer, Backend (SE 0225)",Mid-Senior level,"Athens, Attiki, Greece"
3617979089,SFEIR,Java Developer,Entry level,Luxembourg
4181387970,Malt,Senior Java/Kotlin Developer,Not Applicable,"Lacaussade, Nouvelle-Aquitaine, France"
4045484168,GRNET - Greek Research & Technology Network,Java Developer,Entry level,"Athens, Attiki, Greece"
4180919320,EUROPEAN DYNAMICS,Full Stack Developer (Java),Entry level,"Brussels, Brussels Region, Belgium"
4188112419,Mindera,Java Technical Lead/Staff Engineer,Mid-Senior level,"Timişoara, Timiş, Romania"
4192816057,Morgan Stanley,Software Developer,Not Applicable,"Budapest, Hungary"
4188107997,Mindera,Java Technical Lead/Staff Engineer,Mid-Senior level,"Braşov, Braşov, Romania"
4178788670,Thyme,Software Engineer,Mid-Senior level,"Berlin, Germany"
4148174960,BLACKBIRD.AI,Senior / Principal Software Engineer,Mid-Senior level,Slovakia
4112926141,VisibleThread ,Senior Software Engineer,Mid-Senior level,Ireland
4161519414,PeopleCert,Software Developer,Mid-Senior level,"Athens, Attiki, Greece"
4069526496,Nord Security,Software engineer | Mid | Python,Not Applicable,"Vilnius, Vilniaus, Lithuania"
4189611111,Intellias,Senior Java Software Engineer,Associate,Poland
4188108923,Mindera,Java Technical Lead/Staff Engineer,Mid-Senior level,"Iaşi, Iaşi, Romania"
4189642442,Matritel,Java Developer,Mid-Senior level,"Budapest, Hungary"
4188109757,Mindera,Java Technical Lead/Staff Engineer,Mid-Senior level,"Cluj-Napoca, Cluj, Romania"
4188300263,Netcompany,Junior Java Developer,Entry level,"Warsaw, Mazowieckie, Poland"
4137293388,HCLTech,Java developer,Mid-Senior level,"Cracow, Małopolskie, Poland"
4187027735,Natixis in Portugal,Developer Java/Big Data,Mid-Senior level,"Porto, Porto, Portugal"
4181145322,Capture One,Senior Software Engineer,Mid-Senior level,"Copenhagen, Capital Region of Denmark, Denmark"
4128046628,Xcelirate,Senior Software Engineer,Mid-Senior level,"Barcelona, Catalonia, Spain"
4181153212,Capture One,Software Engineer,Entry level,"Copenhagen, Capital Region of Denmark, Denmark"
4069528192,Nord Security,Software engineer | Mid | Python,Not Applicable,"Kaunas, Kaunas, Lithuania"
3934476429,Sécheron SA,Software Development Engineer,Entry level,"Verona, Veneto, Italy"
4184436969,uDelta,Senior Software Developer (Go),Mid-Senior level,Poland
4067847647,Google,"Software Engineer, Early Career, Cloud AI",Entry level,"Warsaw, Mazowieckie, Poland"
4178604878,EUROPEAN DYNAMICS,Junior Java Programmer,Entry level,"Athens, Attiki, Greece"
4029009341,Netflix,Software Engineer (L4/L5) - Content Engineering,Not Applicable,"Warsaw, Mazowieckie, Poland"
4161481252,Devapo,Junior Software Engineer,Entry level,"Warsaw, Mazowieckie, Poland"
4189261147,Nord Security,Software engineer | Mid | Python,Not Applicable,Poland
4141136344,"KPMG, Microsoft Business Solutions Malta",Junior Programmer - Graduates Programme,Entry level,Malta
4189259215,Nord Security,Software engineer | Senior | Python,Not Applicable,"Warsaw, Mazowieckie, Poland"
4151936081,LinkedIn,Senior AI Software Engineer,Not Applicable,"Dublin, County Dublin, Ireland"
3971714621,Devoteam,Senior Java Developer,Mid-Senior level,"Machelen, Flemish Region, Belgium"
3869776849,KCS iT,JAVA Developer (HYBRID @Porto),Mid-Senior level,"Porto, Portugal"
4164300614,Bosch Magyarország,Lead Java Developer,Mid-Senior level,"Budapest, Budapest, Hungary"
4150198635,Thales,Software Engineer Java,Associate,"Hengelo, Overijssel, Netherlands"
4191464918,GPC Global Technology Center,Senior Java Software Engineer,Mid-Senior level,"Cracow, Małopolskie, Poland"
4150195907,Thales,"Java Software Developer (Junior-Senior, French Language)",Not Applicable,"Bucharest, Bucharest, Romania"
4137050827,Amazing AUCTANE,Software Engineer (HYBRID REMOTE),Entry level,"Zielona Góra, Lubuskie, Poland"
4136115213,Docupace,Java Full-Stack Developer,Entry level,"Riga, Riga, Latvia"
4118658409,Content Guru,Software Developer,Entry level,Porto Metropolitan Area
4073558688,EUROPEAN DYNAMICS,"Full Stack Developer (Java, Angular)",Entry level,"Brussels, Brussels Region, Belgium"
