category,category_group,city,client_jobs_posted,client_rating,company,company_description,company_industry,company_score,company_size,description,description_score,employment_type,engagement_duration,id,job_type,location,location_score,match_score,posted_date,remote,salary,salary_score,skill_score,skills,source,title,url,weekly_hours
Web Development,"Web, Mobile & Software Dev",,130,4.93,,,,0.5,,"We have an existing NextJS application that we want to convert to a Spring Boot application. Take the existing NextJS code and convert to a Spring Boot application.Existing code includes 5 backend APIs, Stripe payments integration, and 5 front end pages.The ideal candidate has Spring Boot experience, is familiar with NextJS.",0,,1 to 3 months,1664650,Ongoing project,"Albania, Algeria, American Samoa",1.0,0.63,2025-04-09,False,,0.5,0.7,"full stack development,java,javascript,restful api,spring,spring boot",upwork,Spring Developer for Project,https://www.upwork.com/freelance-jobs/apply/Spring-Developer-for-Project_~021910048240614042786/,Less than 30 hrs/week
Scripts & Utilities,"Web, Mobile & Software Dev",,112,4.95,,,,0.5,,"I’m looking for an experienced crypto trading bot developer to develop a bot that tracks real-time trading activity on decentralized exchanges (DEXs) like Uniswap and Pancakeswap.The bot should be able to monitor specific wallet addresses (or dynamically detect top wallet addresses based on volume or holdings), track all their DEX trades (Uniswap, PancakeSwap, SushiSwap, or Solana-based DEXs like Jupiter/Raydium), extract details like token bought/sold, amount, timestamp, slippage, and token contract and then send real-time alerts to my tg.I also want the bot to continuously monitor selected token pairs or pools, detect and alert sudden volume spikes based on a configurable % threshold (e.g., 50%+ volume increase within 5 minutes).Let me know if this is what you're capable of doing. Include the world apple in your proposal.",0,,Less than 1 month,1664660,One-time project,"Albania, Algeria, American Samoa",1.0,0.5366666666666667,2025-04-09,False,"{'min': 200.0, 'max': 200.0, 'currency': 'USD', 'period': 'fixed'}",0.5,0.4666666666666666,"android,api,bot development,c++,java,javascript,node.js,php,python,scripting & automation,smartphone",upwork,DEX Whale Wallet & Volume Spike Alert Bot,https://www.upwork.com/freelance-jobs/apply/DEX-Whale-Wallet-Volume-Spike-Alert-Bot_~021910049657529232297/,
Web Development,"Web, Mobile & Software Dev",,187,4.95,,,,0.5,,"I have a java game client, and a game server and a cache.The server wasn't originally meant to work with this later version of cache and client.I need someone to make these work together.Feel free to ask questions, I will give you more details.",0,,Less than 1 month,1664825,One-time project,"Albania, Algeria, American Samoa",1.0,0.4433333333333333,2025-04-09,False,"{'min': 65.0, 'max': 65.0, 'currency': 'USD', 'period': 'fixed'}",0.5,0.2333333333333333,"full stack development,java",upwork,Get Java game server and Java game client built and running,https://www.upwork.com/freelance-jobs/apply/Get-Java-game-server-and-Java-game-client-built-and-running_~021910065156514311081/,
Web Development,"Web, Mobile & Software Dev",,8,5,,,,0.5,,"We are seeking a skilled WordPress support developer with extensive experience in JavaScript, Advanced Custom Fields (ACF), security, and website speed optimization. The ideal candidate will be responsible for maintaining and enhancing our WordPress site, ensuring it runs smoothly and securely. Your role will include troubleshooting issues, implementing security measures, optimizing site performance, and utilizing ACF to customize content. If you are passionate about delivering high-quality WordPress solutions and have a strong attention to detail, we would love to hear from you!You will be prepared to be in our Slack channels and Notion board. Hours will vary on a weekly basis but we have around 50 clients and need reliable support.- Great communication and English.- Experience working with different WordPress set ups and hosting systems.- Honest and trustworthy.",0,,1 to 3 months,1664834,Ongoing project,"Philippines, Indonesia, Poland",1.0,0.4433333333333333,2025-04-09,False,"{'min': 20.0, 'max': 35.0, 'currency': 'USD', 'period': 'hour'}",0.5,0.2333333333333333,"css,full stack development,html,javascript,php,wordpress",upwork,WordPress Support Developer with JavaScript & ACF Expertise,https://www.upwork.com/freelance-jobs/apply/WordPress-Support-Developer-with-JavaScript-ACF-Expertise_~021910063306425940319/,Less than 30 hrs/week
Web Development,"Web, Mobile & Software Dev",,1851,4.89,,,,0.5,,"I need an n8n expert who already has experience building workflows to integrate Slack to the workflow.This is an urgent task, has to be completed in 24 hours.You will not be provided credentials to our n8n or Slack, you should have the credentials for your own environment.Deliverable for this project is:* Create a workflow that has ability to post to ALL Slack Channels and DMs* Jump on a call with me for a quick demo.* Share the workflow JSON so I can import it to my n8n.",0,,1 to 3 months,1664759,Ongoing project,"Albania, Algeria, American Samoa",1.0,0.4433333333333333,2025-04-09,False,"{'min': 350.0, 'max': 350.0, 'currency': 'USD', 'period': 'fixed'}",0.5,0.2333333333333333,"api,api integration,full stack development,n8n,slack",upwork,n8n Expert for Slack Integration,https://www.upwork.com/freelance-jobs/apply/n8n-Expert-for-Slack-Integration_~021910063213436267682/,
Web Development,"Web, Mobile & Software Dev",,0,0,,,,0.5,,"I'd like a developer to convert my Figma design into an HTML webpage, working on a module-by-module basis. The styles and any necessary javascript should be added in each module independently.The ideal candidate should be familiar with responsive design and ensure that all elements are accurately represented in the final output. Attention to detail, frequent check ins and the ability to collaborate effectively is essential.This project is the first of several micro projects and will serve as a test for building a new relationship.",0,,Less than 1 month,1664837,One-time project,"Ukraine, Serbia, Canada",1.0,0.4433333333333333,2025-04-09,False,"{'min': 40.0, 'max': 40.0, 'currency': 'USD', 'period': 'fixed'}",0.5,0.2333333333333333,"css,figma,front-end development,html,html5,javascript,landing page",upwork,Figma to HTML Conversion Specialist Needed,https://www.upwork.com/freelance-jobs/apply/Figma-HTML-Conversion-Specialist-Needed_~021910058460226651045/,
Scripts & Utilities,"Web, Mobile & Software Dev",,,,,,,0.5,,"I am seeking an experienced developer to automate my lead capturing and quoting system to enhance efficiency and streamline processes. The ideal candidate will integrate various tools and ensure seamless data flow between platforms. A strong understanding of automation software and APIs is essential. If you have a proven track record in creating automated systems that improve lead management and quoting, I would love to hear from you.",0,,1 to 3 months,1664801,Ongoing project,"Albania, Algeria, American Samoa",1.0,0.4433333333333333,2025-04-09,False,"{'min': 1500.0, 'max': 1500.0, 'currency': 'USD', 'period': 'fixed'}",0.5,0.2333333333333333,"customer relationship management,javascript,php,salesforce crm,scripting & automation,web development",upwork,Lead Capturing and Quoting System Automation,https://www.upwork.com/freelance-jobs/apply/Lead-Capturing-and-Quoting-System-Automation_~021910055694076800162/,
Web Development,"Web, Mobile & Software Dev",,1,5,,,,0.5,,"We are looking for skilled and driven developers based in Latin America to join a fast-moving team building practical AI solutions, LLM-driven workflows, and fullstack web platforms.Important: This opportunity is only open to professionals residing in Latin America. Applications from outside the region will not be considered.What we’re looking for:Strong experience with Python and FastAPISolid frontend development skills using React.jsProficiency working with PostgreSQL and data modelingFullstack experience or strong backend/frontend with interest in bothCuriosity and motivation to work with AI/ML technologiesIdeal candidate:Strong problem-solving and logical thinking abilitiesAutonomous, responsible, and team-orientedComfortable working remotely and communicating clearlyEager to learn about LLMs, AI pipelines, and applied machine learningWe offer:Real-world software projects with measurable user impactMentorship and technical guidance in AI/ML workflowsLong-term collaboration with flexibility and ownershipFully remote environment, async-friendly, and performance-focusedThis is an excellent opportunity to grow professionally while contributing to impactful products in a collaborative, high-performance team.If you're based in Latin America and want to level up your career in AI, backend, or fullstack development, we’d love to hear from you.Please include a brief introduction, your resume or profile, and a note about what you're most excited to learn or work on.",0,,More than 6 months,1664672,Ongoing project,"Argentina, Brazil, Colombia",1.0,0.4433333333333333,2025-04-09,True,,0.5,0.2333333333333333,"ai,ai/ml,fastapi,full stack development,llm based models,machine learning,postgresql,python,react,react.js",upwork,Hiring Latin American Developers for AI-Powered and High-Impact Software Projects - Contract to Hire,https://www.upwork.com/freelance-jobs/apply/Hiring-Latin-American-Developers-for-Powered-and-High-Impact-Software-Projects_~021910049870832288814/,More than 30 hrs/week
Data Extraction/ETL,Data Science & Analytics,,,,,,,0.5,,"We are seeking a skilled developer to troubleshoot and enhance our existing Python Playwright scraper for Facebook. The primary focus is to fix issues related to the extraction of author names and timestamps from comment sections. The ideal candidate should have experience with web scraping, specifically using Playwright, and a strong understanding of Python programming. If you have a proven track record of resolving similar issues and can deliver efficient solutions, we would love to hear from you!",0,,Less than 1 month,1664803,One-time project,"Albania, Algeria, American Samoa",1.0,0.4433333333333333,2025-04-09,False,"{'min': 8.0, 'max': 50.0, 'currency': 'USD', 'period': 'hour'}",0.5,0.2333333333333333,"data extraction,data scraping,python",upwork,Fix Author and Timestamp Extraction in Facebook Playwright Scraper,https://www.upwork.com/freelance-jobs/apply/Fix-Author-and-Timestamp-Extraction-Facebook-Playwright-Scraper_~021910047618019552169/,Less than 30 hrs/week
Mobile Development,"Web, Mobile & Software Dev",,1,0,,,,0.5,,"We're building a lean, mobile-first tipping app for service workers like hairstylists and barbers. The mobile experience should feel clean and be as intuitive as scanning a digital pass.About the MVP:The app will allow service providers to:Sign up using phone number verification (no email or password required)Tap to display their personal QR code in fullscreenAccept tips via mobile payments (no app needed for the customer)Track tip history and unlock credits based on activityRedeem credits toward branded physical signage through a built-in store interfaceWhat You’ll Build:React Native mobile app (iOS + Android)Backend using Firebase, Supabase, or NodeMobile payment integration (Stripe or another provider with support for future switching)QR code generation and display logicMilestone tracking system for tipping-based rewardsBasic in-app store to order signage (via third-party signage provider API)You Should Be Comfortable With:React Native and Firebase or NodePayment provider integrations (Stripe or similar)Designing mobile-first user flowsWorking independently to help define app logic and user experienceBonus: experience with print-on-demand integrations or store APIsAdditional Details:clearly defined weekly milestonesWe’re moving fast but thoughtfully — clean code and smart architecture are importantPlease share your availability and examples of relevant mobile projects you’ve worked on",0,,1 to 3 months,1664639,Complex project,"Albania, Algeria, American Samoa",1.0,0.4433333333333333,2025-04-09,False,"{'min': 15.0, 'max': 23.0, 'currency': 'USD', 'period': 'hour'}",0.5,0.2333333333333333,"app architecture,mobile app development,node,qr code generation,react,rest api,stripe api,ui/ux prototyping",upwork,React Native Full-Stack Dev for Mobile Tipping App MVP,https://www.upwork.com/freelance-jobs/apply/React-Native-Full-Stack-Dev-for-Mobile-Tipping-App-MVP_~021910047137651835950/,Not Sure
